"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"459","F",51064.2,10490,5.396,"Ride",128.2,"United States",4.86789323164919,"USA"
"460","F",4899.8,1742,2.845,"Run",134.9,"United States",2.81274397244547,"USA"
"461","F",28343.3,7740,4.269,"Ride",150.5,"South Africa",3.66192506459948,"ZAF"
"462","F",6692,1722,4.804,"Ride",147.7,"United States",3.88617886178862,"USA"
"463","F",60499.4,7174,8.459,"Ride",141.7,"United States",8.43314747700028,"USA"
"464","F",20773.5,7783,2.67,"Run",149.2,"The Netherlands",2.66908647051266,"NLD"
"465","F",34209.7,6891,6.132,"Ride",136.6,"Sweden",4.96440284428965,"SWE"
"466","F",1550.7,3082,3.848,"Run",118.9,"Australia",0.503147306943543,"AUS"
"467","F",28518.7,4805,5.935,"Ride",152.3,"France",5.9352133194589,"FRA"
"468","F",56486.2,7960,8.171,"Ride",144.9,"France",7.09625628140703,"FRA"
"469","F",59756.8,8231,7.465,"Ride",149,"The Netherlands",7.2599684121006,"NLD"
"470","F",29652.1,12163,3.502,"Ride",121.3,"United Kingdom",2.43789361177341,"GBR"
"471","F",18608.4,418895,6.801,"Ride",141.3,"United States",0.0444225879993793,"USA"
"472","F",15609.4,1801,8.667,"Ride",140.7,"United Kingdom",8.6670738478623,"GBR"
"473","F",18935.1,2583,7.487,"Ride",129.5,"United States",7.33066202090592,"USA"
"474","F",52870,8108,6.694,"Ride",120.3,"België",6.52072027627035,NA
"475","F",11541.7,4081,2.828,"Run",138.5,"United States",2.82815486400392,"USA"
"476","F",23055.9,3596,6.932,"Ride",143.8,"United States",6.41154060066741,"USA"
"477","F",5673.9,2395,2.45,"Run",167.7,"Switzerland",2.36906054279749,"CHE"
"478","F",2,5,1,"Run",120,"United Kingdom",0.4,"GBR"
"479","F",37203,8435,5.385,"Ride",86.1,"United States",4.41055127445169,"USA"
"480","F",8395.6,4925,1.938,"Run",126,"United Kingdom",1.70469035532995,"GBR"
"481","F",1573.6,684,2.301,"Ride",82.5,"United States",2.30058479532164,"USA"
"482","F",21872.8,7060,5.149,"Ride",113.7,"New Zealand",3.09813031161473,"NZL"
"483","F",77490.7,6949,11.151,"Ride",169.6,"France",11.1513455173406,"FRA"
"484","F",41798.2,8250,8.581,"Ride",160.1,"United Kingdom",5.06644848484848,"GBR"
"485","F",83701.4,32644,3.293,"Ride",143,"United States",2.56406690356574,"USA"
"486","F",29080.1,5481,5.984,"Ride",130.3,"United States",5.30561941251596,"USA"
"487","F",10015.1,3014,3.357,"Run",162.1,"United States",3.3228599867286,"USA"
"488","F",5035,2016,2.502,"Run",165.6,"United Kingdom",2.49751984126984,"GBR"
"489","F",9193,1384,6.642,"Ride",122.3,"United Kingdom",6.64234104046243,"GBR"
"490","F",63339,9663,7.235,"Ride",128.1,"United States",6.55479664700404,"USA"
"491","F",38372.2,4765,8.053,"Ride",143.2,"United Kingdom",8.05292759706191,"GBR"
"492","F",10171.4,3330,3.054,"Run",174,"Portugal",3.05447447447447,"PRT"
"493","F",37570,5344,7.375,"Ride",154.7,"France",7.03031437125748,"FRA"
"494","F",19734.3,188267,6.022,"Ride",100.7,"United States",0.104820812994311,"USA"
"495","F",193380,24669,7.839,"Ride",136.4,"United States",7.83898820381856,"USA"
"496","F",22568.6,7356,4.43,"Ride",113.2,"Czech Republic",3.06805328983143,"CZE"
"497","F",36255.3,7375,4.996,"Ride",129.3,"United Kingdom",4.91597288135593,"GBR"
"498","F",48215.5,9870,7.28,"Ride",151.9,"Luxemburg",4.88505572441743,"LUX"
"499","F",26276.5,4482,6.582,"Ride",145.4,"United Kingdom",5.86267291387773,"GBR"
"500","F",75689.6,20651,5.419,"Ride",151.8,"United States",3.66517844172195,"USA"
"501","F",25715.3,3595,7.153,"Ride",137.7,"New Zealand",7.15307371349096,"NZL"
"502","F",12567.8,1505,8.351,"Ride",127.9,"United Kingdom",8.3506976744186,"GBR"
"503","F",1524.3,808,1.887,"Workout",94.9,"Netherlands",1.8865099009901,"NLD"
"504","F",50,774,0.065,"WeightTraining",147.5,"United States",0.0645994832041344,"USA"
"505","F",9359.3,4006,2.457,"Run",158.9,"United States",2.33632051922117,"USA"
"506","F",11274.6,3627,3.109,"Run",146.2,"United States",3.1085194375517,"USA"
"507","F",22389.4,4581,6.087,"Ride",155.2,"United Kingdom",4.88744815542458,"GBR"
"508","F",25682.2,4160,6.409,"Ride",130.1,"Venezuela",6.17360576923077,"VEN"
"509","F",58942,8943,6.713,"Ride",139.1,"United States",6.59085318125909,"USA"
"510","F",1047.6,347,3.019,"Run",162.6,"Australia",3.01902017291066,"AUS"
"511","F",7454.5,2710,2.775,"Run",130.9,"United States",2.75073800738007,"USA"
"512","F",3105.8,4542,1.208,"Run",103.2,"France",0.683795684720388,"FRA"
"513","F",9761.6,3812,2.561,"Run",162.8,"United Kingdom",2.5607555089192,"GBR"
"514","F",8149.7,2767,2.966,"Run",137.8,"United States",2.94531984098301,"USA"
"515","F",4496.3,2532,1.788,"Run",118.4,"United States",1.77578988941548,"USA"
"516","F",67249.1,9532,7.803,"Ride",145.6,"Australia",7.05508812421318,"AUS"
"517","F",53784.4,9802,6.275,"Ride",162.4,"Australia",5.48708426851663,"AUS"
"518","F",7657.7,3548,2.33,"Run",141.6,"El Salvador",2.15831454340473,"SLV"
"519","F",5610.1,1807,3.105,"Run",180.9,"Croatia",3.10464858882125,"HRV"
"520","F",8087.4,4323,2.643,"Run",155.1,"United States",1.87078417765441,"USA"
"521","F",18648.6,2603,7.436,"Ride",154.4,"Thailand",7.16427199385325,"THA"
"522","F",23205.3,3275,7.286,"Ride",142.4,"United States",7.08558778625954,"USA"
"523","F",6181.6,3801,2.061,"Run",136.7,"Taiwan",1.62630886608787,"TWN"
"524","F",21564.4,3297,6.714,"Ride",131.2,"Danmark",6.5406126781923,NA
"525","F",75404.4,15810,6.073,"Ride",145.7,"United States",4.76941176470588,"USA"
"526","F",22191.2,3671,6.384,"Ride",140.3,"United States",6.0450013620267,"USA"
"527","F",8088.9,3200,2.803,"Run",159.9,"United States",2.52778125,"USA"
"528","F",5057.5,2308,2.241,"Run",180,"Thailand",2.19129116117851,"THA"
"529","F",7286,2854,2.75,"Run",168.6,"Israel",2.55290819901892,"ISR"
"530","F",25782.6,4760,5.78,"Ride",154.5,"United States",5.41651260504202,"USA"
"531","F",19595.2,4835,4.574,"Ride",171.1,"United States",4.05278179937952,"USA"
"532","F",10970.4,7520,2.611,"Ride",129.9,"United States",1.45882978723404,"USA"
"533","F",14416.6,2432,5.928,"Ride",141.9,"Sverige",5.92787828947368,NA
"534","F",39050.2,4425,9.029,"Ride",157.9,"United States",8.82490395480226,"USA"
"535","F",18783.4,9184,6.228,"Ride",123.9,"United Kingdom",2.04523083623693,"GBR"
"536","F",4550,1886,2.413,"Run",167.3,"Russia",2.41251325556734,"RUS"
"537","F",15235.9,2522,6.173,"Ride",125.3,"United States",6.04119746233148,"USA"
"538","F",81142.3,20781,6.284,"Ride",126,"United States",3.90463885279823,"USA"
"539","F",6500.3,3798,1.745,"Run",128,"Australia",1.71150605581885,"AUS"
"540","F",5094.6,2317,2.268,"Run",150.7,"Canada",2.1987915407855,"CAN"
"541","F",6430.1,2858,2.439,"Run",133,"United States",2.2498600419874,"USA"
"542","F",12331.7,7112,1.837,"Run",144.8,"United Kingdom",1.73392857142857,"GBR"
"543","F",33025.6,7486,4.622,"Ride",112.3,"Croatia",4.41164841036602,"HRV"
"544","F",5420.1,3225,2.344,"Run",168.5,"United States",1.6806511627907,"USA"
"545","F",5225.5,2047,2.604,"Run",145.6,"Canada",2.55276013678554,"CAN"
"546","F",4695.3,4962,0.968,"Run",132.1,"Colombia",0.946251511487304,"COL"
"547","F",16166.7,5847,2.789,"Run",168.1,"United States",2.76495638789123,"USA"
"548","F",30820.5,10138,4.974,"Ride",98.5,"Brazil",3.04009666600907,"BRA"
"549","F",65338.9,9011,7.431,"Ride",113.8,"United States",7.25101542559094,"USA"
"550","F",45033,7069,7.364,"Ride",143.6,"The Netherlands",6.37049087565426,"NLD"
"551","F",3879,4327,1.738,"Run",114.6,"United States",0.896464062861105,"USA"
"552","F",1067.6,353,3.024,"Run",169.6,"United Kingdom",3.02436260623229,"GBR"
"553","F",10004.3,1415,7.208,"Ride",163.2,"United States",7.07017667844523,"USA"
"554","F",4331.6,1722,2.724,"Run",152.6,"Canada",2.51544715447154,"CAN"
"555","F",57611.6,9803,8.605,"Ride",160.4,"Australia",5.8769356319494,"AUS"
"556","F",20527.9,4909,4.215,"Ride",161.6,"Nederland",4.18168669790181,NA
"557","F",104759,16608,7.465,"Ride",142.2,"Australia",6.30774325626204,"AUS"
"558","F",11864.6,2320,6.154,"Ride",143.6,"Germany",5.11405172413793,"DEU"
"559","F",57647,8033,7.228,"Ride",158.9,"United States",7.17627287439313,"USA"
"560","F",37551.8,10052,6.753,"Ride",167.8,"Australia",3.73575407879029,"AUS"
"561","F",10007,2833,3.565,"Run",166.9,"Australia",3.53229791740205,"AUS"
"562","F",16600,3473,4.78,"Run",128.6,"United Kingdom",4.7797293406277,"GBR"
"563","F",5473.2,1793,3.053,"Run",158.3,"Netherlands",3.05253764640268,"NLD"
"564","F",7590,1568,6.454,"Ride",116.1,"United Kingdom",4.8405612244898,"GBR"
"565","F",13422.2,2488,5.441,"Ride",53,"United Kingdom",5.39477491961415,"GBR"
"566","F",5021.1,1344,3.736,"Run",172.5,"Australia",3.7359375,"AUS"
"567","F",7449.9,2929,2.543,"Run",142.1,"Deutschland",2.54349607374531,NA
