"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"803","M",10335.5,4075,2.536,"Run",148.3,"Australia",2.53631901840491,"AUS"
"804","F",58240.4,9523,6.427,"Ride",147.2,"South Africa",6.11576183975638,"ZAF"
"805","F",858,409,3.262,"Ride",117.8,"United States",2.09779951100244,"USA"
"806","M",7714.1,2852,2.812,"Run",159.2,"Norway",2.70480364656382,"NOR"
"807","F",24051.8,7417,6.597,"Ride",136,"United States",3.24279358231091,"USA"
"808","M",48299.5,8769,5.601,"Ride",126.5,"Norway",5.50798266621051,"NOR"
"810","M",40026.3,4877,8.787,"Ride",168.8,"Deutschland",8.20715603854829,NA
"811","M",58431.8,7904,7.756,"Ride",136.3,"Brasil",7.39268724696356,NA
"812","M",34049.6,4779,7.513,"Ride",129.3,"Belgium",7.12483783218246,"BEL"
"813","M",2358.2,656,3.595,"Run",147,"United States",3.59481707317073,"USA"
"814","F",36552.7,14180,2.97,"Ride",139.4,"Canada",2.57776445698166,"CAN"
"815","M",19359,3304,5.859,"Ride",54.3,"United Kingdom",5.85926150121065,"GBR"
"816","M",26291.1,11001,3.229,"Ride",118.4,"United Kingdom",2.38988273793291,"GBR"
"817","F",11830.8,1757,7.063,"Ride",129.7,"United Kingdom",6.73352305065452,"GBR"
"818","M",42707.2,7223,6.894,"Ride",151.6,"Portugal",5.91266786653745,"PRT"
"819","F",12171.6,4652,2.71,"Run",130,"France",2.61642304385211,"FRA"
"820","M",59798.5,9641,6.52,"Ride",126.4,"United States",6.20252048542682,"USA"
"821","M",9625,2975,3.258,"Run",138.1,"Ireland",3.23529411764706,"IRL"
"822","M",36850.3,4389,8.516,"Ride",135.7,"The Netherlands",8.39605832763728,"NLD"
"823","M",20926.1,3134,6.677,"VirtualRide",154.5,"United States",6.6771218889598,"USA"
"824","M",80636.5,15999,7.133,"Ride",135.6,"Belgium",5.040096256016,"BEL"
"825","M",41893.8,7699,5.774,"Ride",120.3,"Peru",5.44145992986102,"PER"
"826","M",29600.3,4011,7.38,"Ride",133.8,"United States",7.37978060334081,"USA"
"827","M",11971.5,4020,3.536,"Ride",146,"Australia",2.97798507462687,"AUS"
"828","F",10200.3,3896,2.629,"Run",172.2,"Hong Kong",2.61814681724846,"HKG"
"829","F",977.1,4019,0.243,"WeightTraining",117.6,"Canada",0.243120179149042,"CAN"
"830","M",28424.6,3919,7.253,"Ride",145.5,"United States",7.25302373054351,"USA"
"831","M",43348.8,11826,4.185,"Ride",100.7,"Norway",3.66555048198884,"NOR"
"832","M",42681.8,5757,7.533,"Ride",137.2,"United States",7.41389612645475,"USA"
"833","M",38422.7,3728,10.396,"Ride",150.8,"대한민국",10.3065182403433,NA
"834","F",40.7,4380,0.558,"Run",127.3,"United Kingdom",0.00929223744292238,"GBR"
"835","M",8755.8,2718,3.24,"Run",113.9,"Germany",3.22141280353201,"DEU"
"836","F",4840.8,1441,3.359,"Run",161.9,"Jersey",3.35933379597502,"JEY"
"837","M",37403.4,8840,5.467,"Ride",110.9,"Brazil",4.23115384615385,"BRA"
"838","",36109,4777,8.164,"Ride",174.2,"Belgium",7.55892819761357,"BEL"
"839","M",10346.1,3984,2.617,"Run",131.9,"United Kingdom",2.59691265060241,"GBR"
"840","M",18888.5,2380,7.936,"Ride",122.7,"Italien",7.93634453781513,NA
"841","M",103756,12864,8.857,"Ride",142.6,"Hrvatska",8.06560945273632,NA
"842","F",8006.2,2938,2.809,"Run",171.7,"Deutschland",2.72505105513955,NA
"843","F",5.1,26,0.638,"Ride",64.7,"United States",0.196153846153846,"USA"
"844","M",50265.6,6301,8.018,"Ride",69,"United States",7.97740041263291,"USA"
"845","M",19585.3,2639,8.157,"Ride",138,"United States",7.42148541114058,"USA"
"846","M",32515.1,3600,9.032,"Ride",154.9,"United Kingdom",9.03197222222222,"GBR"
"847","M",9525.3,3399,3.108,"Ride",172.5,"Italy",2.80238305383936,"ITA"
"848","F",32141.5,4510,7.817,"Ride",164.7,"United States",7.12671840354767,"USA"
"849","M",4834.2,1441,3.624,"Run",150.1,"United States",3.35475364330326,"USA"
"850","F",50239.1,12526,5.25,"Ride",138.1,"France",4.01078556602267,"FRA"
"851","M",58236.9,9398,7.373,"Ride",131.6,"United States",6.19673334752075,"USA"
"852","F",37628.4,5381,7.066,"Ride",144.2,"Canada",6.99282661215388,"CAN"
"853","F",52311.5,7138,7.477,"Ride",153.1,"United States",7.32859344354161,"USA"
"854","M",24183.5,3600,6.718,"Ride",124.6,"United Kingdom",6.71763888888889,"GBR"
"855","F",4838.4,1934,2.508,"Run",155.8,"United States",2.50175801447777,"USA"
"856","M",31538.7,8720,3.742,"Ride",67.4,"United Kingdom",3.61682339449541,"GBR"
"857","F",3225.6,1202,2.713,"Run",174,"United Kingdom",2.68352745424293,"GBR"
"858","",7353.9,2262,3.257,"Run",167.5,"United States",3.25106100795756,"USA"
"859","M",3113.3,1845,1.687,"Walk",49,"United Kingdom",1.68742547425474,"GBR"
"860","F",38055.4,12946,3.221,"Ride",137.4,"South Africa",2.93954889541171,"ZAF"
"861","M",6270.6,7825,0.801,"Crossfit",101,"United Kingdom",0.801354632587859,"GBR"
"862","M",48464.2,5400,8.975,"Ride",146.8,"United Kingdom",8.97485185185185,"GBR"
"863","F",3226.9,180918,2.991,"Run",164.9,"United States",0.0178362573099415,"USA"
"864","M",9651.1,1443,6.894,"Ride",119.9,"Australia",6.68821898821899,"AUS"
"865","M",21205.2,6608,3.317,"Run",148.7,"United Kingdom",3.20901937046005,"GBR"
"866","F",24339.7,3561,6.932,"Ride",160,"United States",6.83507441729851,"USA"
"867","M",12149.5,4178,3.144,"Run",144.4,"Poland",2.90797032072762,"POL"
"868","M",24220.4,3350,7.621,"Ride",106.8,"United States",7.22997014925373,"USA"
"869","F",6520.7,4070,1.719,"Run",111.7,"The Netherlands",1.60213759213759,"NLD"
"870","M",7940.3,2147,4.743,"Ride",134.5,"United States",3.69832324173265,"USA"
"871","M",6546.2,2406,2.965,"Run",165,"United Kingdom",2.72078137988362,"GBR"
"872","M",5549.1,2977,2.129,"Run",141.1,"Sweden",1.86399059455828,"SWE"
"873","M",694.1,2600,0.267,"Ride",125.5,"United States",0.266961538461538,"USA"
"874","M",24119.7,2102,11.475,"Ride",127.9,"United States",11.4746431969553,"USA"
"875","M",144820,17492,8.306,"Ride",155.5,"España",8.27921335467642,NA
"876","M",48297.1,10183,6.912,"Ride",131.7,"Australia",4.74291466169105,"AUS"
"877","M",89423.3,10715,9.733,"Ride",146.6,"Denmark",8.34561829211386,"DNK"
"878","M",117787,16195,7.728,"Ride",148.2,"United Kingdom",7.27304723680148,"GBR"
"879","M",63614,9478,7.445,"Ride",116.9,"Sweden",6.71175353450095,"SWE"
"880","M",24128.9,7070,3.424,"Run",149.2,"Italy",3.41285714285714,"ITA"
"881","M",21627,6763,3.198,"Run",156.5,"Schweiz",3.19784119473606,NA
"882","M",1005,343,2.93,"Run",123.6,"United States",2.93002915451895,"USA"
